CI,Group,Subgroup,Detail,Description,Mode/Site Indicator,Duplicate Indicator
,2,03,195,Loading containers main vessel to main vessel with dangerous goods in overtime,,
,2,03,196,Loading containers main vessel to main vessel with overheight/overwidth in overtime,,
+,2,03,197,Loading any standard length container full to overseas-vessel ,,
+,2,03,198,Loading any standard length container full out of gauge to overseas-vessel,,
+,2,03,199,Loading any standard length container empty to overseas-vessel,,
+,2,03,200,Loading any standard length container full to feeder ,,
+,2,03,201,Loading any standard length container full out of gauge to feeder,,
+,2,03,202,Loading any standard length container empty to feeder ,,
+,2,03,203,Loading any standard length container full to barge,,
+,2,03,204,Loading any standard length container full out of gauge to barge,,
+,2,03,205,Loading any standard length container empty to barge ,,
,2,04,000,  DISCHARGING CHARGE,,
,2,04,001,Discharging 20 feet container full DS/SS,,
,2,04,002,Discharging 30 feet container full DS/SS,,
,2,04,003,Discharging 35 feet container full DS/SS,,
,2,04,004,Discharging 40 feet container full DS/SS,,
,2,04,005,Discharging 20 feet container empty DS/SS,,
,2,04,006,Discharging 30 feet container empty DS/SS,,
,2,04,007,Discharging 35 feet container empty DS/SS,,
,2,04,008,Discharging 40 feet container empty DS/SS,,
,2,04,009,Discharging bundles containers DS/SS,,
,2,04,010,Discharging containers with chains DS/SS,,
,2,04,011,Discharging containers on time-basis DS/SS,,
,2,04,012,Discharging 20 feet containers full ex feeders,,
,2,04,013,Discharging 30 feet containers full ex feeders,,
,2,04,014,Discharging 35 feet containers full ex feeders,,
,2,04,015,Discharging 40 feet containers full ex feeders,,
,2,04,016,Discharging 20 feet container empty ex feeders,,
,2,04,017,Discharging 30 feet container empty ex feeders,,
,2,04,018,Discharging 35 feet container empty ex feeders,,
,2,04,019,Discharging 40 feet container empty ex feeders,,
,2,04,020,Discharging bundles containers ex feeders,,
,2,04,021,Discharging containers with chains ex feeders,,
,2,04,022,Discharging containers on time-bases ex feeders,,
,2,04,023,Discharging 20 feet container ex barge full,,
,2,04,024,Discharging 30 feet container ex barge full,,
,2,04,025,Discharging 35 feet container ex barge full,,
,2,04,026,Discharging 40 feet container ex barge full,,
,2,04,027,Discharging 20 feet container ex barge empty,,
,2,04,028,Discharging 30 feet container ex barge empty,,
,2,04,029,Discharging 35 feet container ex barge empty,,
,2,04,030,Discharging 40 feet container ex barge empty,,
,2,04,031,Discharging containers with chains ex barge,,
,2,04,032,Discharging palletized cargo up to and including 3 cbm per 1000 kg,,
,2,04,033,Discharging palletized cargo - increase for exceeding 3 cbm per 1000 kg,,
,2,04,034,"Discharging big bags of at least 1000 kg, provided with hoisting loops",,
,2,04,035,"Discharging plywood/veneer bundled/on skids/crated, min. 300 kg per package - from North America",,
,2,04,036,Discharging logs - receipt by arrangement,,
,2,04,037,Discharging cellulose/woodpulp in units of min. 4 bales to be lifted on steelstrips,,
,2,04,038,Discharging newsprint and other paper on reels of min. 1000 kg per reel,,
,2,04,039,Discharging linerboard on reels of min. 1500 kg per reel,,
,2,04,040,Discharging plywood/veneer in bundles/on skids/in crates of min. 300 kg per package,,
,2,04,041,Discharging plywood/veneer in bundles/on skids/in crates of min. 300 kg per package - from North America,,
,2,04,042,Discharging logs,,
,2,04,043,Discharging logs - from North America,,
,2,04,044,Discharging logs incl. delay & labour for measuring during discharge,,
,2,04,045,Discharging timber/lumber in bundles of min. 0.5 cbm,,
,2,04,046,Discharging timber/lumber in bundles of min. 0.5 cbm - receipt by arrangement,,
,2,04,047,Discharging timber/lumber in bundles of min. 0.5 cbm incl. storage,,
,2,04,048,Discharging timber/lumber in bundles of min. 0.5 cbm - from North-America,,
,2,04,049,Discharging timber/lumber in bundles of min. 0.5 cbm from North-America - receipt by arrangement,,
,2,04,050,Discharging timber/lumber in bundles of min. 0.5 cbm from North-America incl. storage,,
,2,04,051,Discharging wallboards (like hardboard) on pallets/skids in bundles,,
,2,04,052,Discharging blooms up to/incl 5000 kg per piece/bundle,,
,2,04,053,Discharging blooms over 5000 kg per piece/bundle,,
,2,04,054,Discharging slabs up to/incl. 5000 kg per piece/bundle,,
,2,04,055,Discharging slabs over 5000 kg per piece/bundle,,
,2,04,056,Discharging billets up to/incl. 5000 kg per piece/bundle,,
,2,04,057,Discharging billets over 5000 kg per piece/bundle,,
,2,04,058,Discharging coils up to/incl. 5000 kg per piece/bundle,,
,2,04,059,Discharging coils over 5000 kg per piece/bundle,,
,2,04,060,Discharging strips and hoops up to/incl. 5000 kg per piece/bundle,,
,2,04,061,Discharging strips and hoops over 5000 kg per piece/bundle,,
,2,04,062,"Discharging plates (also corrugated), up to/incl. 5000 kg per piece/bundle",,
,2,04,063,"Discharging plates (also corrugated), over 5000 kg per piece/bundle",,
,2,04,064,Discharging tinplates and sheets up to/incl. 5000 kg per piece/bundle,,
,2,04,065,Discharging tinplates and sheets over 5000 kg per piece/bundle,,
,2,04,066,Discharging tubes,,
,2,04,067,"Discharging pipes, loose or in bundles, over 3000 kg",,
,2,04,068,"Discharging wire coils, unitized, over 1200 kg",,
,2,04,069,Discharging normal structural- and merchant steel up to/incl 12 metres in length,,
,2,04,070,Discharging normal structural- and merchant steel longer than 12 metres,,
,2,04,071,Discharging other iron and steel of min. 500 kg per piece/bundle,,
,2,04,072,Discharging ingots of min. 25 kg each,,
,2,04,073,Discharging blocks of min. 25 kg each,,
,2,04,074,Discharging plates of min. 25 kg each,,
,2,04,075,Discharging bars of min. 25 kg each,,
,2,04,076,Discharging slabs of min. 25 kg each,,
,2,04,077,Discharging units of min. 950 kg,,
,2,04,078,Discharging bundles of min. 950 kg,,
,2,04,079,Discharging blocks of min. 950 kg,,
,2,04,080,Discharging ferro chrome in cases of min. 500 kg,,
,2,04,081,Discharging cadmium in cases of min. 500 kg,,
,2,04,082,Discharging bismut in cases of min. 500 kg,,
,2,04,083,Discharging other non ferrous metals in cases of min. 500 kg,,
,2,04,084,Discharging fresh fruits up to/incl. 10 kg per package,,
,2,04,085,"Discharging fresh fruits over 10 kg, up to/incl. 15 kg per package",,
,2,04,086,Discharging fresh fruits over 15 kg per package,,
,2,04,087,"Discharging fresh fruits palletized, up to/incl 750 kg per pallet or in bins of min. 400 kg",,
,2,04,088,"Discharging fresh fruits palletized, over 750 kg per pallet",,
,2,04,089,"Discharging other agricultural products, up to/incl 15 kg per package",,
,2,04,090,"Discharging other agricultural products, over 15 kg up to/incl. 45 kg per package",,
,2,04,091,"Discharging other agricultural products, over 45 kg per package",,
,2,04,092,"Discharging cooled/refrig. cargo other than meat, up to/incl 20 kg per package",,
,2,04,093,"Discharging cooled and refrig. cargo other than meat, up to/incl. 20 kg per package, incl. extra for weighing",,
,2,04,094,"Discharging cooled and refrig. cargo other than meat, over 20 kg per package",,
,2,04,095,"Discharging cooled and refrig. cargo other than meat, over 20 kg per package, incl. weighing on deck",,
,2,04,096,"Discharging cooled and refrig. cargo other than meat, palletized",,
,2,04,097,"Discharging frozen meat, unpacked or in bags, up to/incl. 20 kg per package",,
,2,04,098,"Discharging frozen meat, unpacked or in bags, over 20 kg but up to/incl 45 kg per package",,
,2,04,099,"Discharging frozen meat, unpacked or in bags, over 45 kg per package",,
,2,04,100,"Discharging chilled meat, unpacked or in bags, up to/incl. 20 kg per package",,
,2,04,101,"Discharging chilled meat, unpacked or in bags, over 20 kg but up to/incl. 45 kg per package",,
,2,04,102,"Discharging chilled meat, unpacked or in bags, over 45 kg per package",,
,2,04,103,Discharging fruit juices in drums of min. 160 kg,,
,2,04,104,"Discharging fruit juices in drums of min. 160 kg, not stowed in cool chamber",,
,2,04,105,Discharging capoc in bales,,
,2,04,106,Discharging cotton in bales,,
,2,04,107,Discharging cottonwaste in bales,,
,2,04,108,Discharging hemp in bales,,
,2,04,109,Discharging jute in bales,,
,2,04,110,Discharging sisal in bales,,
,2,04,111,Discharging wool in bales,,
,2,04,112,"Discharging bagged cargo, min.40 kg per bag vide alphabetic list group A",,
,2,04,113,"Discharging bagged cargo, min. 40 kg per bag vide alphabetic list group B",,
,2,04,114,"Discharging cocoa, expellers in bags of min. 50 kg",,
,2,04,115,Discharging poppyheads,,
,2,04,116,"Discharging drums and barrels of min. 160 kg, to be handled with chimbhooks",,
,2,04,117,Discharging drums and barrels of at least 160 kg to be handled without chimbhooks or limited hoist size due to IMO class,,
,2,04,118,"Discharging general cargo, measuring up to/incl 3 cbm per 1000 kg",,
,2,04,119,"Discharging general cargo, extra for measuring over 3 cbm per 1000 kg",,
,2,04,120,"Discharging motorcars or other rolling stock unpacked with tyres or tracks, up to/incl. 5 tons per piece",,
,2,04,121,"Discharging motorcars or other rolling stock unpacked with tyres or tracks, over 5 tons but up to/incl. 17.5 tons per piece",,
,2,04,122,"Discharging motorcars or other rolling stock unpacked with tyres or tracks, over 17.5 tons per piece",,
,2,04,123,Discharging granite and marble in blocks of min. 2000 kg,,
,2,04,124,Discharging coal by grab,,
,2,04,125,Discharging coke by grab,,
,2,04,126,Discharging ore or other minerals by grab,,
,2,04,127,Discharging copra or -pallets by grab,,
,2,04,128,Discharging palmkernels by grab,,
,2,04,129,Discharging rice by grab,,
,2,04,130,"Discharging copra by elevator, incl. weighing",,
,2,04,131,"Discharging groundnuts (decorticated) by elevator, incl. weighing",,
,2,04,132,Discharging palmkernels by elevator incl. weighing,,
,2,04,133,Discharging containers/flats up to/incl. 50 pieces per call,,
,2,04,134,Discharging containers/flats over 50 pieces per call,,
,2,04,135,Discharging containers DeepSea/ShortSea in overtime,,
,2,04,136,Discharging containers with chains DeepSea/ShortSea in overtime,,
,2,04,137,Discharging adapters in overtime,,
,2,04,138,Discharging palletized cargo in overtime,,
,2,04,139,Discharging unpacked lifts in overtime,,
,2,04,140,Discharging uncontainerized cargo in overtime,,
,2,04,141,Discharging containers feeders in overtime,,
,2,04,142,Discharging containers with chains feeders in overtime,,
,2,04,143,Discharging chassis in overtime,,
,2,04,144,Discharging breakbulk (1 ton to 7 ton) ro-ro in overtime,,
,2,04,145,Discharging breakbulk (<1 ton) ro-ro in overtime,,
,2,04,146,Discharging cars (not selfdriven) ro-ro,,
,2,04,148,Discharging cars (not selfdriven) ro-ro in overtime,,
,2,04,150,Discharging cars (selfdriven) ro-ro,,
,2,04,151,Discharging cars (selfdriven) ro-ro in overtime,,
,2,04,152,Discharging containers on wheels ro-ro,,
,2,04,153,Discharging containers on wheels ro-ro in overtime,,
,2,04,154,Discharging general cargo (1 ton to 7 tons) ro-ro,,
,2,04,155,Discharging general cargo (<1 ton) ro-ro,,
,2,04,156,Discharging logs (bundled) ro-ro,,
,2,04,157,Discharging logs (bundled) ro-ro in overtime,,
,2,04,158,Discharging logs (loose) ro-ro,,
,2,04,159,Discharging logs (loose) ro-ro in overtime,,
,2,04,160,Discharging special units ro-ro,,
,2,04,161,Discharging special units ro-ro in overtime,,
,2,04,162,Discharging tractors (not selfdriven) ro-ro,,
,2,04,163,Discharging tractors (not selfdriven) ro-ro in overtime,,
,2,04,164,Discharging tractors (selfdriven) ro-ro,,
,2,04,165,Discharging tractors (selfdriven) ro-ro in overtime,,
,2,04,166,Discharging trailers ro-ro,,
,2,04,167,Discharging trailers ro-ro in overtime,,
,2,04,168,Discharging trucks (not selfdriven) ro-ro,,
,2,04,169,Discharging trucks (not selfdriven) ro-ro in overtime,,
,2,04,170,Discharging trucks (selfdriven) ro-ro,,
,2,04,171,Discharging trucks (selfdriven) ro-ro in overtime,,
,2,04,172,Discharging units on wheels (selfdriven) ro-ro,,
,2,04,173,Discharging units on wheels (selfdriven) ro-ro in overtime,,
,2,04,175,Discharging costs incl. loading on truck/wagon,,
,2,04,176,Discharging bulkcargo,,
,2,04,177,Discharging into shed,,
,2,04,178,Unloading charge,,
,2,04,179,Discharging 20 feet container full ex barge - additional charges,,
,2,04,180,Discharging 20 feet container full ex barge with overheight/overwide,,
,2,04,181,Discharging 40 feet container full ex barge - additional charges,,
,2,04,182,Discharging 40 feet container full ex barge with overheight/overwide,,
,2,04,183,Discharging 20 feet container empty ex barge - additional charges,,
,2,04,184,Discharging 40 feet container empty ex barge - additional charges,,
,2,04,185,Discharging 20 feet container full DS/SS with dangerous goods,,
,2,04,186,Discharging 20 feet container full DS/SS with overheight/overwide,,
,2,04,187,Discharging 20 feet container full DS/SS with flats/platform,,
,2,04,188,Discharging 40 feet container full DS/SS with dangerous goods,,
,2,04,189,Discharging 40 feet container full DS/SS with overheight/overwide,,
,2,04,190,Discharging 40 feet container full DS/SS with flats/platform,,
,2,04,191,Discharging 20 feet container full DS/SS with overheight/overwide ex feeders,,
,2,04,192,Discharging 20 feet container full DS/SS with dangerous goods ex feeders,,
,2,04,193,Discharging 40 feet container full DS/SS with overheight/overwide ex feeders,,
,2,04,194,Discharging 40 feet container full DS/SS with dangerous goods ex feeders,,
,2,04,195,Discharging 45 feet container full DS/SS,,
,2,04,196,Discharging 45 feet container empty DS/SS,,
,2,04,197,Discharging 45 feet containers full ex feeders,,
,2,04,198,Discharging 45 feet container empty ex feeders,,
,2,04,199,Discharging 45 feet container ex barge full,,
,2,04,200,Discharging 45 feet container ex barge empty,,
,2,04,201,Discharging 45 feet container full ex barge - additional charges,,
,2,04,202,Discharging 45 feet container full ex barge with overheight/overwide,,
,2,04,203,Discharging 45 feet container empty ex barge - additional charges,,
,2,04,204,Discharging 45 feet container full DS/SS with dangerous goods,,
,2,04,205,Discharging 45 feet container full DS/SS with overheight/overwide,,
,2,04,206,Discharging 45 feet container full DS/SS with flats/platform,,
,2,04,207,Discharging 45 feet container full DS/SS with overheight/overwide ex feeders,,
,2,04,208,Discharging 45 feet container full DS/SS with dangerous goods ex feeders,,
,2,04,209,Discharging uncontainerized cargo,,
,2,04,210,Discharging uncontainerized cargo in overtime,,
+,2,04,211,Discharging any standard length container full to overseas-vessel ,,
+,2,04,212,Discharging any standard length container full out of gauge to overseas-vessel,,
+,2,04,213,Discharging any standard length container empty to overseas-vessel,,
+,2,04,214,Discharging any standard length container full to feeder ,,
+,2,04,215,Discharging any standard length container full out of gauge to feeder,,
+,2,04,216,Discharging any standard length container empty to feeder ,,
+,2,04,217,Discharging any standard length container full to barge,,
+,2,04,218,Discharging any standard length container full out of gauge to barge,,
+,2,04,219,Discharging any standard length container empty to barge ,,
,2,05,000,  SHIFTING CHARGES,,
,2,05,001,Shifting,,
,2,05,002,Shifting containers on time-basis,,
,2,05,003,Shifting containers with chains,,
,2,05,004,Shifting adapters,,
,2,05,005,Shifting palletized cargo,,
,2,05,006,Shifting palletized cargo on time-basis,,
,2,05,007,Shifting unpacked lifts,,
,2,05,008,Shifting unpacked lifts on time-basis,,
,2,05,009,Shifting uncontainerized cargo,,
,2,05,010,Shifting containers in barge,,
,2,05,011,Shifting containers on time-basis on barge,,
,2,05,012,Shifting containers with chains on barge,,
,2,05,013,Shifting containers in overtime,,
,2,05,014,Shifting adapters in overtime,,
,2,05,015,Shifting containers with chains in overtime,,
,2,05,016,Shifting unpacked lifts in overtime,,
,2,05,017,Shifting unpacked lifts on time-basis in overtime,,
,2,05,018,Shifting uncontainerized cargo in overtime,,
,2,05,019,Shifting breakbulk (1 ton to 7 ton) ro-ro,,
,2,05,020,Shifting breakbulk (1 ton to 7 ton) ro-ro in overtime,,
,2,05,021,Shifting breakbulk (<1 ton) ro-ro,,
,2,05,022,Shifting breakbulk (<1 ton) ro-ro in overtime,,
,2,05,023,Shifting cars (not selfdriven) ro-ro,,
,2,05,025,Shifting cars (not selfdriven) ro-ro in overtime,,
,2,05,027,Shifting cars (selfdriven) ro-ro,,
,2,05,028,Shifting cars (selfdriven) ro-ro in overtime,,
,2,05,029,Shifting containers on wheels ro-ro,,
,2,05,030,Shifting containers on wheels ro-ro in overtime,,
,2,05,031,Shifting special units ro-ro,,
,2,05,032,Shifting special units ro-ro in overtime,,
,2,05,033,Shifting tractors (not selfdriven) ro-ro,,
,2,05,034,Shifting tractors (not selfdriven) ro-ro in overtime,,
,2,05,035,Shifting tractors (selfdriven) ro-ro,,
,2,05,036,Shifting tractors (selfdriven) ro-ro in overtime,,
,2,05,037,Shifting trailers ro-ro,,
,2,05,038,Shifting trailers ro-ro in overtime,,
,2,05,039,Shifting trucks (not selfdriven) ro-ro,,
,2,05,040,Shifting trucks (not selfdriven) ro-ro in overtime,,
,2,05,041,Shifting trucks (selfdriven) ro-ro,,
,2,05,042,Shifting trucks (selfdriven) ro-ro in overtime,,
,2,05,043,Shifting units on wheels (selfdriven) ro-ro,,
,2,05,044,Shifting units on wheels (selfdriven) ro-ro in overtime,,
,2,05,045,Shifting 20 feet container full on board,,
,2,05,046,Shifting 40 feet container full on board,,
,2,05,047,Shifting 20 feet container empty on board,,
,2,05,048,Shifting 40 feet container empty on board,,
,2,05,049,Shifting 20 feet container full on board with overheight/overwide ,,
,2,05,050,Shifting 40 feet container full on board with overheight/overwide ,,
,2,05,051,Shifting 20 feet container full over quai,,
,2,05,052,Shifting 40 feet container full over quai,,
,2,05,053,Shifting 20 feet container empty over quai,,
,2,05,054,Shifting 40 feet container empty over quai,,
,2,05,055,Shifting 20 feet container full over quai with overheight/overwide,,
,2,05,056,Shifting 40 feet container full over quai with overheight/overwide,,
,2,05,057,Shifting 45 feet container full on board,,
,2,05,058,Shifting 45 feet container empty on board,,
,2,05,059,Shifting 45 feet container full on board with overheight/overwide ,,
,2,05,060,Shifting 45 feet container full over quai,,
,2,05,061,Shifting 45 feet container empty over quai,,
,2,05,062,Shifting 45 feet container full over quai with overheight/overwide,,
,2,06,000,  RELOADING CHARGES,,
,2,06,001,Reloading (incl. rectification),,
,2,06,002,Reloading containers on time-basis,,
,2,06,003,Reloading containers with chains,,
,2,06,004,Reloading adapters,,
,2,06,005,Reloading unpacked lifts,,
,2,06,006,Reloading unpacked lifts on time-basis,,
,2,06,007,Reloading uncontainerised cargo,,
,2,06,008,Reloading containers into barge,,
,2,06,009,Reloading containers into barge on time-basis,,
,2,06,010,Reloading containers into barge with chains,,
,2,06,011,Reloading containers in overtime,,
,2,06,012,Reloading adapters in overtime,,
,2,06,013,Reloading containers with chains in overtime,,
,2,06,014,Reloading unpacked lifts in overtime,,
,2,06,015,Reloading unpacked lifts on time-basis in overtime,,
,2,06,016,Reloading uncontainerized cargo in overtime,,
,2,06,017,Reloading breakbulk (1 ton to 7 ton) ro-ro,,
,2,06,018,Reloading breakbulk (1 ton to 7 ton) ro-ro in overtime,,
,2,06,019,Reloading breakbulk (<1 ton) ro-ro,,
,2,06,020,Reloading breakbulk (<1 ton) ro-ro in overtime,,
,2,06,021,Reloading cars (not selfdriven) ro-ro,,
,2,06,023,Reloading cars (not selfdriven) ro-ro in overtime,,
,2,06,025,Reloading cars (selfdriven) ro-ro,,
,2,06,026,Reloading cars (selfdriven) ro-ro in overtime,,
,2,06,027,Reloading containers on wheels ro-ro,,
,2,06,028,Reloading containers on wheels ro-ro in overtime,,
,2,06,029,Reloading special units ro-ro,,
,2,06,030,Reloading special units ro-ro in overtime,,
,2,06,031,Reloading tractors (not selfdriven) ro-ro,,
,2,06,032,Reloading tractors (not selfdriven) ro-ro in overtime,,
,2,06,033,Reloading tractors (selfdriven) ro-ro,,
,2,06,034,Reloading tractors (selfdriven) ro-ro in overtime,,
,2,06,035,Reloading trailers ro-ro,,
,2,06,036,Reloading trailers ro-ro in overtime,,
,2,06,037,Reloading trucks (not selfdriven) ro-ro,,
,2,06,038,Reloading trucks (not selfdriven) ro-ro in overtime,,
,2,06,039,Reloading trucks (selfdriven) ro-ro,,
,2,06,040,Reloading trucks (selfdriven) ro-ro in overtime,,
,2,06,041,Reloading units on wheels (selfdriven) ro-ro,,
,2,06,042,Reloading units on wheels (selfdriven) ro-ro in overtime,,
,2,06,043,Reloading 20 feet container full via quai,,
,2,06,044,Reloading 40 feet container full via quai,,
,2,06,045,Reloading 45 feet container full via quai,,
,2,06,046,Reloading 20 feet container empty via quai,,
,2,06,047,Reloading 40 feet container empty via quai,,
,2,06,048,Reloading 45 feet container empty via quai,,
,2,06,049,Reloading 20 feet container full via quai with overheight/overwide ,,
,2,06,050,Reloading 40 feet container full via quai with overheight/overwide ,,
,2,06,051,Reloading 45 feet container full via quai with overheight/overwide ,,
+,2,06,052,Transshipment any standard length container full from overseas-vessel to other overseas-vessel,,
+,2,06,053,Transshipment any standard length container full out of gauge from overseas-vessel to other overseas-vessel,,
+,2,06,054,Transshipment any standard length container empty from overseas-vessel to other overseas-vessel,,
+,2,06,055,Transshipment any standard length container full from overseas-vessel to feeder-vessel,,
+,2,06,056,Transshipment any standard length container full out of gauge from overseas-vessel to feeder-vessel,,
+,2,06,057,Transshipment any standard length container empty from overseas-vessel to feeder-vessel,,
+,2,06,058,Transshipment any standard length container full from feeder-vessel to overseas-vessel,,
+,2,06,059,Transshipment any standard length container full out of gauge from feeder-vessel to overseas-vessel,,
+,2,06,060,Transshipment any standard length container empty from feeder-vessel to overseas-vessel,,
+,2,06,061,Transshipment any standard length container full from feeder-vessel to other feeder-vessel,,
+,2,06,062,Transshipment any standard length container full out of gauge from feeder-vessel to other feeder-vessel,,
+,2,06,063,Transshipment any standard length container empty from feeder-vessel to other feeder-vessel,,
+,2,06,064,Reloading any standard length container full to same vessel via quay,,
+,2,06,065,Reloading any standard length container full out of gauge to same vessel via quay,,
+,2,06,066,Reloading any standard length container empty to same vessel via quay,,
,2,07,000,  RECEIVING CHARGES,,
,2,07,001,Receiving by rail of empty chassis,,
,2,07,002,Receiving by road of empty chassis,,
,2,07,003,Receiving container via rail empty,,
,2,07,004,Receiving container via rail empty bundled,,
,2,07,005,Receiving container via rail full,,
,2,07,006,Receiving container via rail not shipbound empty,,
,2,07,007,Receiving container via rail not shipbound empty bundled,,
,2,07,008,Receiving container via rail not shipbound full,,
,2,07,009,Receiving container via road empty,,
,2,07,010,Receiving container via road full,,
,2,07,011,Receiving container via road not shipbound empty,,
,2,07,012,Receiving container via road not shipbound empty bundled,,
,2,07,013,Receiving container via road not shipbound empty bundled,,
,2,07,014,Receiving container via road not shipbound full,,
,2,07,015,Receiving containers with chains,,
,2,07,016,Receiving generator-sets,,
,2,07,017,Receiving logs bundled,,
,2,07,018,Receiving logs loose,,
,2,07,019,Receiving selfunits,,
,2,07,020,Receiving selfunits (<10 ton),,
,2,07,022,Receiving selfunits assisted by third party,,
,2,07,023,Receiving selfunits on time-basis,,
,2,07,024,Receiving trailers,,
,2,07,025,Receiving uncontainerized cargo,,
,2,07,026,Receiving uncontainerized cargo (tariff per hour),,
,2,07,027,Receiving uncontainerized cargo (tariff per piece),,
,2,07,028,Receiving units on wheels,,
,2,07,029,Receiving units on wheels on time-basis,,
,2,07,030,Receiving unpacked lifts,,
,2,07,032,Receipt control and storage,,
,2,07,033,Receipt controll on damage and tally,,
,2,07,034,Receipt ex seashed and loading on vehicle,,
,2,07,035,Receipt ex seashed till stored for normal storage,,
,2,07,036,Receipt ex seashed till stored for terminal market,,
,2,07,037,Receiving costs into shed,,
,2,07,038,"Receipt ex vessel, tally, till stored for normal storage",,
,2,07,039,"Receipt ex vessel, tally, till stored for terminal market",,
,2,07,040,Receiving 20 feet container full,,
,2,07,041,Receiving 40 feet container full,,
,2,07,042,Receiving 20 feet container full with overheight/overwide - additional,,
,2,07,043,Receiving 40 feet container full with overheight/overwide - additional,,
,2,07,044,Receiving 20 feet container empty,,
,2,07,045,Receiving 40 feet container empty,,
,2,07,046,Receiving 45 feet container full,,
,2,07,047,Receiving 45 feet container full with overheight/overwide - additional,,
,2,07,048,Receiving 45 feet container empty,,
,2,07,049,Receiving/delivering by road in overtime,,
,2,07,050,Receiving/delivering by rail in overtime,,
,2,07,051,Receiving/delivering by barge in overtime,,
,2,07,052,Receiving/delivering by shortsea in overtime,,
,2,07,053,Receiving/delivering by feeder in overtime,,
,2,07,054,Received/delivered by road not shipbound full,,
,2,07,055,Received/delivered by road not shipbound empty,,
,2,07,056,Received/delivered by rail not shipbound full,,
,2,07,057,Received/delivered by rail not shipbound empty,,
,2,07,058,Received/delivered by barge not shipbound full,,
,2,07,059,Received/delivered by barge not shipbound empty,,
,2,07,060,Receiving more than one month at terminal,,
+,2,07,061,Receiving any standard length container full out of gauge via road,,
+,2,07,062,Receiving any standard length container full out of gauge via rail,,
,2,08,000,  DELIVERING CHARGES,,
,2,08,001,Delivering by rail of empty chassis,,
,2,08,002,Delivering by road of empty chassis,,
,2,08,003,Delivering container via rail empty,,
,2,08,004,Delivering container via rail empty bundled,,
,2,08,005,Delivering container via rail full,,
,2,08,006,Delivering container via rail not shipbound empty,,
,2,08,007,Delivering container via rail not shipbound empty bundled,,
,2,08,008,Delivering container via rail not shipbound full,,
,2,08,009,Delivering container via road empty,,
,2,08,010,Delivering container via road empty bundled,,
,2,08,011,Delivering container via road full,,
,2,08,012,Delivering container via road not shipbound empty,,
,2,08,013,Delivering container via road not shipbound empty bundled,,
,2,08,014,Delivering container via road not shipbound full,,
,2,08,015,Delivering containers with chains,,
,2,08,016,Delivering generator-sets,,
,2,08,017,Delivering logs bundled,,
,2,08,018,Delivering logs loose,,
,2,08,019,Delivering selfunits,,
,2,08,020,Delivering selfunits assisted by third party,,
,2,08,021,Delivering selfunits on time-basis,,
,2,08,022,Delivering trailers,,
,2,08,023,Delivering uncontainerized cargo,,
,2,08,024,Delivering uncontainerized cargo (tariff per hour),,
,2,08,025,Delivering uncontainerized cargo (tariff per piece),,
,2,08,026,Delivering units on wheels,,
,2,08,027,Delivering units on wheels on time-basis,,
,2,08,028,Delivering unpacked lifts,,
,2,08,030,Delivery,,D1
,2,08,030,Delivery charges      ,(FF),D2
,2,08,030,Delivery costs       ,(DD),D3
,2,08,030,Delivery fee,,D4
,2,08,031,"Delivery into store (Store, warehouse, Customs area, transit store)",,
,2,08,032,Delivery in the customs depot,,
,2,08,034,"Delivery into store, warehouse, dustoms depot, T.I.R. depot",,
,2,08,035,Redelivery out of store,,
,2,08,036,Redelivery ex warehouse into/onto means of transport,,
,2,08,037,Delivery 20 feet container full,,
,2,08,038,Delivery 40 feet container full,,
,2,08,039,Delivery 20 feet container full with overheight/overwide,,
,2,08,040,Delivery 40 feet container full with overheight/overwide,,
,2,08,041,Delivery 20 feet container full with overheight/overwide - additional,,
,2,08,042,Delivery 40 feet container full with overheight/overwide - additional,,
,2,08,043,Delivery 20 feet container empty,,
,2,08,044,Delivery 40 feet container empty,,
,2,08,045,Redelivery out of store empty,,
,2,08,046,Delivery 45 feet container full,,
,2,08,047,Delivery 45 feet container full with overheight/overwide,,
,2,08,048,Delivery 45 feet container full with overheight/overwide - additional,,
,2,08,049,Delivery 45 feet container empty,,
+,2,08,050,Delivering any standard length container full out of gauge via road,,
+,2,08,051,Delivering any standard length container full out of gauge via rail,,
,2,09,000,  TERMINAL ACTIVITIES CHARGES,,
,2,09,001,Attaching/detaching clip-on units,,
,2,09,002,Containers to be washed,,
,2,09,003,Containers-moves export,,
,2,09,004,Containers-moves import,,
,2,09,005,Containers-moves with chains export,,
,2,09,006,Containers-moves with chains import,,
,2,09,007,Damaged containers,,
,2,09,008,Extra handling on time-basis,,
,2,09,009,Internal transport and (un)-stacking of containers export,,
,2,09,010,Internal transport and (un)-stacking of containers import,,
,2,09,011,Opening doors of containers,,
,2,09,012,Pretrip transport of coolcontainers,,
,2,09,013,Travellen,,
,2,09,014,Unstacking of trailers,,
,2,09,015,Bundling of flatracks,,
,2,09,032,Terminal charges,,
,2,09,033,Terminal handling charge - loading,,
,2,09,034,Terminal handling charge - discharge,,
,2,09,058,Terminal handling charge - destination,,
,2,09,060,Terminal handling charge - origin,,
,2,09,061,Remove damaged twistlocks,,
,2,09,062,Set safety seals,,
+,2,09,063,Crane operation truck-rail,,
+,2,09,064,Crane operation rail-truck,,
+,2,09,065,Crane operation truck-yard,,
+,2,09,066,Crane operation rail-yard,,
+,2,09,067,Crane operation yard-rail,,
+,2,09,068,Crane operation yard-truck,,
